"","species","WWF_MHT","dcmlLng","dcmlLtt","S_mean_raster","Crowther_Nature_Biome_Revision_01_WGS84_GeoTiff","wc2.1_10m_bio_1","wc2.1_10m_bio_4","wc2.1_10m_bio_12","wc2.1_10m_bio_15"
"5955","Antarctica","Temperate Broadleaf and Mixed Forests",152.892093,-30.791063,31.4150390625,56496.088915964,18.655216217041,370.006927490234,1434,43.8522491455078
"5956","Antarctica","Temperate Broadleaf and Mixed Forests",152.360927,-29.654745,29.3305549621582,59369.6614192024,16.1695213317871,404.028717041016,1116,47.3004760742188
"5957","Antarctica","Temperate Broadleaf and Mixed Forests",152.829052,-28.37843,29.8034515380859,49983.2387170321,17.0763130187988,396.739624023438,1240,46.146556854248
"5958","Antarctica","Temperate Broadleaf and Mixed Forests",151.417239,-33.435852,36.0893936157227,51158.908532288,17.4889736175537,374.527160644531,1299,28.776762008667
"5959","Antarctica","Temperate Broadleaf and Mixed Forests",151.83544,-31.303953,30.8419399261475,62392.4913009221,12.6132917404175,456.029022216797,1130,38.216007232666
"5960","Antarctica","Temperate Broadleaf and Mixed Forests",152.063707,-32.678531,NA,36929.9209098843,17.9215908050537,373.869293212891,1274,24.8856563568115
"5961","Antarctica","Temperate Broadleaf and Mixed Forests",153.15132,-30.085065,37.6724395751953,55184.3963365386,18.1858654022217,366.602600097656,1495,45.1844787597656
"5962","Antarctica","Temperate Broadleaf and Mixed Forests",149.999641,-36.514385,32.1177368164062,76009.8406427026,14.8864898681641,368.847747802734,927,25.9975471496582
"5963","Antarctica","Temperate Broadleaf and Mixed Forests",152.70983,-29.915414,24.7759399414062,42986.3998331085,17.9421672821045,392.781280517578,1281,52.0009651184082
"5964","Antarctica","Temperate Broadleaf and Mixed Forests",153.411019,-28.554623,42.283748626709,58443.9102252008,18.4544887542725,359.841217041016,1818,44.323299407959
"5965","Antarctica","Temperate Broadleaf and Mixed Forests",153.490804,-28.271436,NA,43235.7565787207,19.3577079772949,359.927673339844,1774,45.9340019226074
